ID,Text,Comment
Cordial.CutterTool.DisplayName,Zu konfigurierenden Fällbereich markieren,-
Cordial.CutterTool.Description,"Verwende dieses Werkzeug, um einen zu konfigurierenden Bereich für das Fällen von Bäumen zu markieren.",-
Cordial.CutterTool.CutterToolPanel.Title,Cutter Tool Konfiguration,-
Cordial.CutterTool.CutterToolPanel.Description,Konfigurieren Sie die Baumarten und/oder den Auswahlbereich für das Fällen,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern01,Alle,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern02,Schachbrettmuster,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern03,Reihen X,-
Cordial.CutterTool.CutterToolPanel.AreaConfig.Pattern04,Reihen Y,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeAll,Alle Baumarten,-
Cordial.CutterTool.CutterToolPanel.TreeConfig.TreeMark,Nur Bäume markieren,-
